Date,Outbound - cold visit,Dealer referral,OnlineStore,Seminar,Client referral,Inbound-Call,,Inbound,Hompage inqury,Exhibition,InBody user,Outbound - cold call cold mail,Reference,IndiaMart,Outbound,WebSite Visit,InBody Seminar,Event,Hompage inquiry,Dealer,Recurring,Inbound-call,Inbound-IndiaMart,Tender,service,Other,Tendor,Customer-Service,nan
2017-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2017-3,2,3,,,,,,,5,2,,,,,,,,,,,,,,,,,,,
2017-4,2,1,,,,1,,,5,1,1,,,,,,,,,,,,,,,,,,
2017-5,4,2,1,,2,,,,5,,,,,,,,,,,,,,,,,,,,
2017-6,1,,,,4,1,,,1,,1,1,,,,,,,,,,,,,,,,,3.0
2017-7,4,,,,3,1,,,,,,5,,,,,,,,,,,,,,,,,1.0
2017-8,20,1,,,3,4,,,5,6,1,1,,,,,,,,,,,,,,,,,4.0
2017-9,21,2,,,2,6,,,4,3,,7,,1,,,,,,,,,,,,,,,2.0
2017-10,6,1,,,,6,,,3,,1,2,,1,,1,,,,,,,,,,,,,
2017-11,11,,,,3,1,,,1,1,1,3,,2,,,,,,,,,,,,,,,1.0
2017-12,7,,,1,5,4,,,1,5,,2,,1,,,,,,,,,,,,,,,1.0
2018-1,9,2,,,6,6,,,3,5,,1,,,,,,,,,,,,,,,,,
2018-2,11,,,1,10,2,,,2,4,,1,,,,,,,,,,,,,,,,,
2018-3,30,1,,,12,13,,,3,9,3,2,,,,1,1,,,,,,,,,,,,1.0
2018-4,14,,,,1,1,,,,2,1,1,,3,,1,,,,,,,,,,,,,1.0
2018-5,7,,,,6,2,,,,2,2,5,,2,,,,,2,,,,,,,,,,1.0
2018-6,12,2,,,6,6,,,,4,,,,1,,1,,,3,,,,,,,,,,3.0
2018-7,11,1,,,10,2,,,,2,1,1,,,,2,,,1,,,,,,,,,,1.0
2018-8,5,,,1,3,5,,,,2,1,,,,,1,,,4,,,,,,,,,,2.0
2018-9,4,1,,,4,1,,,,1,1,,,,,,,,1,,,,,,,,,,1.0
2018-10,4,,,,1,,,,,2,1,3,,2,,,,,3,,,,,,,,,,1.0
2018-11,4,,,,3,3,,,,1,,,,1,,1,,,2,,,,,,,,,,
2018-12,1,1,,,7,1,,,,1,2,,,,,1,,,2,,,,,,,,,,
2019-1,2,1,,,4,4,,,,1,2,,,,,,,,3,,,,,,,,,,
2019-2,7,1,,,3,4,,,,,,,,3,,2,,,2,,,,,,,,,,
2019-3,7,4,,,4,1,,,,1,,1,,,,,,,,1,,,,,,,,,1.0
2019-4,7,1,,,3,1,,,,2,2,1,,,,,,,1,,,,,,,,,,1.0
2019-5,4,1,,,1,2,,,,1,,2,,,,,,,5,,,,,,,,,,1.0
2019-6,3,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
2019-7,9,1,,,4,3,,1,,4,1,1,,,,1,,,3,,,,,,,,,,3.0
2019-8,8,1,,,,1,,,,1,1,,,,,,,,2,,,,,,,,,,1.0
2019-9,4,1,,,3,,,,,,,,,,,,,,3,,,,,,,,,,
2019-10,6,3,,,1,,,1,,2,1,,,,,,,,,,,1,,,,,,,2.0
2019-11,3,,,,6,1,,,,2,,,,,3,1,,,,,,,1,,1,,,,1.0
2019-12,9,,,,,4,,,,,,,1,,1,,,2,,,,,,,,,,,15.0
2020-1,,,,,,,,1,,,,,3,,2,,,,,,,,,,,,,,26.0
2020-2,,,,,,,,2,,,,,1,,5,,,1,,,,,,,,,,,29.0
2020-3,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,19.0
2020-4,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,
2020-5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2020-6,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,
2020-7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2020-8,,,,,,,,6,,,,,1,,,,,,,,,,,,,,,,
2020-9,,,,,,,,2,,,,,4,,3,,,,,,,,,,,,,,
2020-10,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,
2020-11,,,,,,,,2,,,,,4,,4,,,,,,,,,,,,,1,
2020-12,,,,,,,,,,,,,6,,10,,,,,,,,,,,,,,
2021-1,,,,,,,,5,,,,,6,,6,,,,,,,,,,,,,,
2021-2,2,,,,,,,5,,,,,6,,2,,,,,,,,,,,,,,
2021-3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
2021-4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2021-5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
2021-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
