Date,Client referral,Customer-Service,Dealer,Dealer referral,Event,Exhibition,Hompage inquiry,Hompage inqury,InBody Seminar,InBody user,Inbound,Inbound-Call,Inbound-IndiaMart,Inbound-call,IndiaMart,OnlineStore,Other,Outbound,Outbound - cold call cold mail,Outbound - cold visit,Recurring,Reference,Seminar,Tender,Tendor,WebSite Visit,nan,service
2017-1Q,0.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
2017-2Q,6.0,0.0,0.0,3.0,0.0,1.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2017-3Q,8.0,0.0,0.0,3.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2017-4Q,8.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,24.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
2018-1Q,27.0,0.0,0.0,2.0,0.0,18.0,0.0,7.0,1.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,49.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2018-2Q,13.0,0.0,0.0,2.0,0.0,8.0,5.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0
2018-3Q,16.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0
2018-4Q,11.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2019-1Q,11.0,0.0,1.0,6.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2019-2Q,4.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2019-3Q,7.0,0.0,0.0,2.0,0.0,4.0,8.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
2019-4Q,7.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,1.0
2020-1Q,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,74.0,0.0
2020-2Q,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-3Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-4Q,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-1Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-3Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
