Date,Outbound - cold visit,Outbound - cold call,Client referral,Inbound,Event,Inbound-Hompage,InBody Seminar,Hompage inqury,Exhibition,Bangalore - Exhibition,External Reference,Employee Reference,Reference,,Chat,WebSite Visit,Outbound,Dealer referral,Inbound-IndiaMart,Customer-Service,Tendor,nan
2017-1,14,,3,,,,,,,,,,,,,,,,,,,
2017-2,2,,,,,,,,3,,,,,,,,,,,,,
2017-3,45,1,3,3,2,,,,,,1,2,,,,,,,,,,
2017-4,49,,1,2,7,1,,,2,,,,,,1,1,1,,,,,3.0
2017-5,9,,1,5,3,,,,,,,,,,,,,,,,,2.0
2017-6,2,,,2,,,1,2,1,,,,,,,,,,1,,,3.0
2017-7,15,7,1,2,,,,,,,,,,,,,,,1,,,3.0
2017-8,29,213,,,,,,,,,,,,,,2,,,,,,2.0
2017-9,2,6,1,1,,,,,,,,,,,,1,,,,,,
2017-10,1,,,,,,,,,,,,,,,2,,,,,,
2017-11,,,1,,,,,,,,,,,,,,,,,,,2.0
2017-12,,29,36,,31,,6,,1,,,,,,,,3,,,,,
2018-1,5,,3,,3,,,,,,,,,,,,,,,,,
2018-2,2,1,1,,6,,,,,,,,,,,,,,1,,,
2018-3,10,,1,1,,,,,,,,,,,,,,,1,,,1.0
2018-4,26,,,,7,,,,,,,,,,,,1,,,,,1.0
2018-5,3,,,,,,,,,,,,,,,2,,,,,,5.0
2018-6,9,2,2,2,,,,,,,,,,,,3,,,,,,1.0
2018-7,3,1,1,1,1,,,,,,,,1,,1,,,,,,,4.0
2018-8,,,,1,,,,,,,,,,,,,,,,,,2.0
2018-9,1,,,2,,,,,,,,,,,,,,,,,,1.0
2018-10,7,18,,3,61,1,,,,,,,,,,41,1,,,,,2.0
2018-11,,,2,34,,3,,,,,,,,,,24,,,,,,2.0
2018-12,1,,,,20,,,,,,,,,,,16,,,,,,5.0
2019-1,,,,19,,,,,,,,,,,,,,,,,,
2019-2,,,,13,33,,,,,,,,,,,,1,,,,,5.0
2019-3,,,,19,15,,,,,,,,,,,,1,,,,,5.0
2019-4,,,,14,,,,,,,,,,,,,11,,,,,5.0
2019-5,,,,1,,,,,,,,,,,,,190,,,,,7.0
2019-6,,,,3,,,,,,,,,1,,,,4,,,,,
2019-7,,,,5,6,,,,,,,,1,,,,16,,,,,
2019-8,,,,5,,,,,,,,,,,,,5,,,,,
2019-9,,,,,4,,,,,,,,,,,,,,,,,
2019-10,,,,6,4,,,,,,,,,,,,297,,,,,
2019-11,,,,9,22,,,,,,,,1,,,,,,,,,
2019-12,,,,10,25,,,,,,,,,,,,3,,,,1,
2020-1,,,,16,1,,,,,,,,,,,,8,,,,,
2020-2,,,,12,2,,,,,,,,,,,,2,,,,,
2020-3,,,,12,8,,,,,,,,,,,,,,,,,
2020-4,,,,7,,,,,,,,,,,,,,,,,,
2020-5,,,,1,,,,,,,,,,,,,,,,,,
2020-6,,,,12,,,,,,,,,,,,,,,,,,
2020-7,,,,18,,,,,,,,,,,,,1,,,,,
2020-8,,,,15,,,,,,,,,,,,,,,,,,
2020-9,,,,9,,,,,,,,,1,,,,,,,,,
2020-10,,,,22,,,,,,,,,,,,,,,,,,
2020-11,,,,22,,,,,,,,,2,,,,3,,,,,
2020-12,,,,12,,,,,,,,,13,,,,20,,,,,
2021-1,,,,15,,,,,,,,,20,,,,27,,,,,
2021-2,,,,32,,,,,,,,,16,,,,39,,,,,
2021-3,,,,17,2,,,,,,,,52,,,,119,,,,,
2021-4,,,,20,,,,,,,,,12,,,,15,,,,,
2021-5,,,,9,2,,,,,,,,4,,,,96,,,,,
2021-6,,,,7,,,,,,,,,14,,,,50,,,,,
2021-7,,,,19,,,,,,,,,18,,,,25,,,,,
