Date,Bangalore - Exhibition,Chat,Client referral,Customer-Service,Dealer referral,Employee Reference,Event,Exhibition,External Reference,Hompage inqury,InBody Seminar,Inbound,Inbound-Hompage,Inbound-IndiaMart,Outbound,Outbound - cold call,Outbound - cold visit,Reference,Tendor,WebSite Visit,nan
2017-1Q,0.0,0.0,6.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0
2017-2Q,0.0,1.0,2.0,0.0,0.0,0.0,10.0,3.0,0.0,2.0,1.0,9.0,1.0,1.0,1.0,0.0,60.0,0.0,0.0,1.0,8.0
2017-3Q,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,226.0,46.0,0.0,0.0,3.0,5.0
2017-4Q,0.0,0.0,37.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,29.0,1.0,0.0,0.0,2.0,2.0
2018-1Q,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0
2018-2Q,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,38.0,0.0,0.0,5.0,7.0
2018-3Q,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,7.0
2018-4Q,0.0,0.0,2.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,37.0,4.0,0.0,1.0,18.0,8.0,0.0,0.0,81.0,9.0
2019-1Q,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0
2019-2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,205.0,0.0,0.0,1.0,0.0,0.0,12.0
2019-3Q,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0
2019-4Q,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,300.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-1Q,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-3Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-4Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,23.0,0.0,0.0,15.0,0.0,0.0,0.0
2021-1Q,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,185.0,0.0,0.0,88.0,0.0,0.0,0.0
2021-2Q,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,161.0,0.0,0.0,30.0,0.0,0.0,0.0
2021-3Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,25.0,0.0,0.0,18.0,0.0,0.0,0.0
