Date,Outbound - cold visit,Outbound - cold call,Client referral,Inbound,Event,Inbound-Hompage,InBody Seminar,Hompage inqury,Exhibition,Bangalore - Exhibition,External Reference,Employee Reference,Reference,,Chat,WebSite Visit,Outbound,Dealer referral,Inbound-IndiaMart,Customer-Service,Tendor,nan
2017-1,5,,1,,,,,,,,,,,,,,,,,,,
2017-2,,,,,,,,,,,,,,,,,,,,,,
2017-3,13,,,1,,,,,,,1,,,,,,,,,,,
2017-4,15,,2,4,7,1,,2,4,,,,,,,,1,,,,,1.0
2017-5,10,,2,6,,,,1,,,,,,,,,1,,1,,,
2017-6,14,,1,7,,,,2,9,,,,,,,,,,,,,2.0
2017-7,21,25,,5,,,,4,,,,,,,,,,,1,,,
2017-8,42,12,4,4,,,2,1,1,,,,,,,,,,,,,3.0
2017-9,40,282,2,2,,,,3,,,,,,,,,,4,,,,1.0
2017-10,24,4,7,10,,,1,,2,,,,,,,,,1,,,,
2017-11,12,,2,1,,,1,1,9,,,,,,,,,,1,,,
2017-12,8,9,20,5,5,,4,2,14,,,,,,,,3,,3,,,
2018-1,14,,8,1,7,,4,,17,,,,,,,,,,,,,
2018-2,40,1,11,2,18,,,,16,,,,,,,,,,,,,
2018-3,15,,5,7,,,,,,,,,,,,,,,1,,,
2018-4,27,,2,2,,,,,1,,,,,,,,,,2,,,2.0
2018-5,16,5,3,,,,3,,,,,,,,,,,,1,,,
2018-6,29,1,5,3,8,1,1,,1,,,,,,,,,,2,,,
2018-7,7,2,1,1,,,,,,,,,,,,,,,,,,1.0
2018-8,6,,,1,,,,,1,,,,,,,,,,,,,
2018-9,25,1,1,,,2,,,,,,,,,,,,,,,,
2018-10,21,,1,1,2,,,,1,,,,,,,2,,,,,,1.0
2018-11,4,2,5,,2,2,,,,,,,,,,1,,,,,,
2018-12,2,,1,,2,,,,,,,,,,,,,,,,,
2019-1,,,,3,,,,,,,,,1,,,,,,,,,1.0
2019-2,,,,,4,,,,,,,,,,,,3,,,,,
2019-3,,,,9,2,,,,,,,,1,,,,1,,,,,
2019-4,,,,4,2,,,,,,,,1,,,,26,,,,,1.0
2019-5,,,,8,,,,,,,,,1,,,,17,,,,,
2019-6,,,,1,,,,,,,,,,,,,5,,,,,
2019-7,,,,17,7,,,,,,,,4,,,,40,,,,,
2019-8,,,,4,,,,,,,,,1,,,,16,,,,,
2019-9,,,,,,,,,,,,,1,,,,5,,,,,
2019-10,,,,5,8,,,,,,,,,,,,31,,,,,
2019-11,,,,8,1,,,,,,,,2,,,,6,,,,,
2019-12,,,,6,7,,,,,,,,2,,,,11,,,,,
2020-1,,,,8,,,,,,,,,,,,,8,,,,,
2020-2,,,,10,1,,,,,,,,,,,,,,,,,
2020-3,,,,3,3,,,,,,,,,,,,2,,,,,
2020-4,,,,3,,,,,,,,,,,,,,,,,,
2020-5,,,,1,,,,,,,,,,,,,,,,,,
2020-6,,,,3,,,,,,,,,,,,,,,,,,
2020-7,,,,7,,,,,,,,,,,,,,,,,,
2020-8,,,,1,,,,,,,,,,,,,,,,,,
2020-9,,,,2,,,,,,,,,2,,,,,,,,,
2020-10,,,,2,,,,,,,,,,,,,,,,,,
2020-11,,,,4,,,,,,,,,3,,,,2,,,,,
2020-12,,,,11,,,,,,,,,21,,,,27,,,,,
2021-1,,,,10,,,,,,,,,24,,,,25,,,,,
2021-2,,,,15,,,,,,,,,21,,,,36,,,,,
2021-3,,,,7,2,,,,,,,,55,,,,123,,,,,
2021-4,,,,11,,,,,,,,,14,,,,17,,,,,
2021-5,,,,6,2,,,,,,,,5,,,,93,,,,,
2021-6,,,,2,,,,,,,,,16,,,,50,,,,,
2021-7,,,,10,,,,,,,,,22,,,,20,,,,,
