Date,Bangalore - Exhibition,Chat,Client referral,Customer-Service,Dealer referral,Employee Reference,Event,Exhibition,External Reference,Hompage inqury,InBody Seminar,Inbound,Inbound-Hompage,Inbound-IndiaMart,Outbound,Outbound - cold call,Outbound - cold visit,Reference,Tendor,Unnamed: 14,WebSite Visit,nan
2017-1Q,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
2017-2Q,0.0,0.0,5.0,0.0,0.0,0.0,7.0,13.0,0.0,5.0,0.0,17.0,1.0,1.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,3.0
2017-3Q,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,2.0,11.0,0.0,1.0,0.0,319.0,103.0,0.0,0.0,0.0,0.0,4.0
2017-4Q,0.0,0.0,29.0,0.0,1.0,0.0,5.0,25.0,0.0,3.0,6.0,16.0,0.0,4.0,3.0,13.0,44.0,0.0,0.0,0.0,0.0,0.0
2018-1Q,0.0,0.0,24.0,0.0,0.0,0.0,25.0,33.0,0.0,0.0,4.0,10.0,0.0,1.0,0.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0
2018-2Q,0.0,0.0,10.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,4.0,5.0,1.0,5.0,0.0,6.0,72.0,0.0,0.0,0.0,0.0,2.0
2018-3Q,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,38.0,0.0,0.0,0.0,0.0,1.0
2018-4Q,0.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,3.0,1.0
2019-1Q,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2019-2Q,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2019-3Q,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,61.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
2019-4Q,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,48.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-1Q,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-3Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-4Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,29.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
2021-1Q,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,184.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-2Q,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,160.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2021-3Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
