Date,Academic,Private Enterprise,Hotel,Hospital,Clinic,Fitness,Military,Others_Individual,Others_etc,Others_Others Corporate,Public Association,Others_Aesthetic
2017-1,1.0,1.0,1.0,1.0,60.0,31.818181818181817,1.0,50.0,1.0,1.0,1.0,1.0
2017-2,1.0,20.0,1.0,50.0,25.0,85.71428571428571,1.0,50.0,1.0,1.0,1.0,1.0
2017-3,1.0,50.0,1.0,40.0,12.5,10.46511627906976,1.0,1.0,1.0,1.0,1.0,1.0
2017-4,1.0,1.0,60.0,10.0,8.57142857142857,7.9646017699115,1.0,16.66666666666666,1.0,8.33333333333333,1.0,1.0
2017-5,1.0,75.0,1.0,1.0,1.0,14.634146341463412,1.0,1.0,1.0,1.0,50.0,25.0
2017-6,1.0,1.0,1.0,18.75,1.0,25.53191489361702,1.0,1.0,1.0,12.5,1.0,1.0
2017-7,1.0,33.33333333333333,1.0,17.24137931034483,1.0,6.5934065934065895,1.0,1.0,1.0,1.0,1.0,1.0
2017-8,50.0,20.0,1.0,41.37931034482758,0.96153846153846,11.2565445026178,1.0,1.0,1.0,20.45454545454545,1.0,50.0
2017-9,33.33333333333333,10.0,1.0,69.56521739130434,70.0,11.779041429731919,1.0,1.0,1.0,89.28571428571429,50.0,89.28571428571429
2017-10,50.0,1.0,1.0,44.44444444444444,23.8095238095238,18.39080459770115,1.0,1.0,1.0,60.0,1.0,28.57142857142857
2017-11,50.0,33.33333333333333,1.0,50.0,30.0,22.61904761904762,50.0,50.0,1.0,22.22222222222222,1.0,40.0
2017-12,13.04347826086956,25.0,1.0,6.122448979591829,0.73637702503681,18.367346938775512,28.57142857142857,1.0,1.0,11.11111111111111,14.28571428571428,18.18181818181818
2018-1,1.0,1.0,1.0,11.76470588235294,5.55555555555555,24.16666666666666,1.0,1.0,1.0,10.0,1.0,1.0
2018-2,10.0,16.66666666666666,1.0,12.5,12.5,20.37037037037037,1.0,1.0,50.0,6.0,20.0,33.33333333333333
2018-3,60.0,16.66666666666666,1.0,64.0,35.0,34.193548387096776,1.0,1.0,1.0,36.36363636363636,50.0,20.0
2018-4,1.0,22.22222222222222,1.0,41.17647058823529,3.2258064516128995,14.814814814814811,1.0,66.66666666666666,1.0,9.09090909090909,50.0,22.22222222222222
2018-5,66.66666666666666,1.0,50.0,70.0,33.33333333333333,29.06976744186046,1.0,1.0,1.0,20.0,1.0,1.0
2018-6,1.0,9.09090909090909,17.64705882352941,24.0,30.43478260869565,26.01626016260163,1.0,33.33333333333333,1.0,37.5,33.33333333333333,50.0
2018-7,1.0,75.0,50.0,50.0,12.5,35.0,1.0,33.33333333333333,50.0,25.0,1.0,50.0
2018-8,50.0,33.33333333333333,1.0,63.63636363636363,44.44444444444444,29.292929292929287,1.0,1.0,1.0,12.5,1.0,1.0
