Date,Client referral,Customer-Service,Dealer,Dealer referral,Event,Exhibition,Hompage inquiry,Hompage inqury,InBody Seminar,InBody user,Inbound,Inbound-Call,Inbound-IndiaMart,Inbound-call,IndiaMart,OnlineStore,Other,Outbound,Outbound - cold call cold mail,Outbound - cold visit,Recurring,Reference,Seminar,Tender,Tendor,WebSite Visit,nan,service
2017-1Q,25.0,25.0,25.0,24.750000000000004,25.0,24.916666666666668,25.0,24.166666666666664,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.750000000000004,25.0,25.0,25.0,25.0,25.0,25.0,18.958333333333332,25.0
2017-2Q,24.34258582907232,25.0,25.0,24.83564645726808,25.0,24.98173849525201,25.0,22.79035792549306,25.0,24.926953981008037,25.0,24.926953981008037,25.0,25.0,25.0,24.98173849525201,25.0,25.0,24.98173849525201,24.10518626734843,25.0,25.0,25.0,25.0,25.0,25.0,24.83564645726808,25.0
2017-3Q,24.945024738867506,25.0,25.0,25.013743815283117,25.0,24.69305479201026,25.0,24.69305479201026,25.0,25.00916254352208,25.0,24.84881803188565,25.0,25.0,25.00916254352208,25.0,25.0,25.0,24.761773868425873,20.59281656587869,25.0,25.0,25.0,25.0,25.0,25.0,24.738867509620672,25.0
2017-4Q,24.691358024691358,25.0,25.0,24.995177469135804,25.0,24.826388888888886,25.0,24.87943672839506,25.0,24.980709876543205,25.0,24.416473765432094,25.0,25.0,24.92283950617284,25.0,25.0,25.0,24.763695987654327,22.222222222222225,25.0,25.0,24.995177469135804,25.0,25.0,24.995177469135804,24.980709876543205,25.0
2018-1Q,24.01687672418456,25.0,25.0,24.828257694596203,25.0,24.707902850651816,25.0,24.801211662249145,25.006761508086765,25.012170714556174,25.0,24.254881808838643,25.0,25.0,25.0,25.0,25.0,25.0,25.01081841293882,21.90458159787959,25.0,25.0,25.006761508086765,25.0,25.0,25.006761508086765,25.006761508086765,25.0
2018-2Q,24.6387104743083,25.0,25.0,25.012351778656125,25.0,24.901185770750985,24.98456027667984,25.0,25.0,25.009263833992094,25.0,24.34844367588933,25.0,25.0,24.96294466403162,25.0,25.0,25.0,24.697381422924902,21.86264822134387,25.0,25.0,25.0,25.0,25.0,25.012351778656125,24.98456027667984,25.0
2018-3Q,23.38235294117647,25.0,25.0,24.999999999999996,25.0,24.92121848739496,24.87394957983193,25.0,25.0,24.98424369747899,25.0,24.747899159663866,25.0,25.0,25.0,25.0,25.0,25.0,25.005252100840337,22.846638655462183,25.0,25.0,25.005252100840337,25.0,25.0,24.98424369747899,24.95798319327731,25.0
2018-4Q,23.687065972222225,25.0,25.0,24.98914930555555,25.0,24.826388888888886,24.468315972222218,25.0,25.0,24.90234375,25.0,24.826388888888886,25.0,25.0,24.90234375,25.0,25.0,25.0,24.90234375,24.12109375,25.0,25.0,25.0,25.0,25.0,24.956597222222225,24.98914930555555,25.0
2019-1Q,24.196376388077148,25.0,25.0,24.780829924021045,25.0,24.9853886616014,24.85388661601403,25.0,25.0,24.9853886616014,25.0,24.473991817650493,25.0,25.0,24.95616598480421,25.0,25.0,25.0,25.0,22.93249561659848,25.0,25.0,25.0,25.0,25.0,24.9853886616014,25.0,25.0
2019-2Q,24.825783972125436,25.0,25.0,24.91289198606272,25.0,24.91289198606272,23.882113821138212,25.0,25.0,24.97096399535424,25.0,24.91289198606272,25.0,25.0,24.999999999999996,25.0,25.0,25.0,24.91289198606272,22.357723577235777,25.0,25.0,25.0,25.0,25.0,25.0,24.97096399535424,25.0
