Date,Bangalore - Exhibition,Chat,Client referral,Customer-Service,Dealer referral,Employee Reference,Event,Exhibition,External Reference,Hompage inqury,InBody Seminar,Inbound,Inbound-Hompage,Inbound-IndiaMart,Outbound,Outbound - cold call,Outbound - cold visit,Reference,Tendor,WebSite Visit,nan
2017-1Q,25.0,25.0,24.105668684645018,25.0,25.0,25.42652724270776,24.896807925151354,25.61915244909191,25.220143093010464,25.0,25.0,25.61915244909191,25.0,25.0,25.0,25.220143093010464,9.782608695652174,25.0,25.0,25.0,25.0
2017-2Q,25.0,24.75,25.09756097560976,25.0,25.0,25.0,23.04878048780488,26.024390243902438,25.0,25.695121951219516,25.353658536585368,27.1890243902439,25.353658536585368,24.75,24.75,25.0,15.853658536585368,25.0,25.0,24.75,23.000000000000004
2017-3Q,25.0,25.0,24.825174825174827,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.487391396482305,25.0,24.912587412587413,25.0,9.059122695486332,24.793388429752067,25.0,25.0,24.737762237762237,26.051599915236277
2017-4Q,25.0,25.0,21.440319548872182,25.0,25.0,25.0,18.556156015037594,24.776785714285715,25.0,25.0,23.660714285714285,25.0,25.0,25.0,24.330357142857146,31.203007518796994,24.776785714285715,25.0,25.0,24.553571428571427,24.768953634085214
2018-1Q,25.0,25.0,26.311728395061728,25.0,25.0,25.0,22.916666666666668,27.77777777777778,25.0,25.0,25.0,25.65586419753086,25.0,24.92283950617284,25.0,24.305555555555554,16.859567901234566,25.0,25.0,25.0,25.65586419753086
2018-2Q,25.0,25.0,26.324728260869566,25.0,25.0,25.0,26.13790760869565,25.0,25.0,25.0,25.0,24.21875,25.0,26.086956521739133,25.679347826086957,27.377717391304344,13.688858695652174,25.0,25.0,24.04891304347826,25.169836956521735
2018-3Q,25.0,25.909090909090907,25.909090909090907,25.0,25.0,25.0,25.909090909090907,25.0,25.0,25.0,25.0,25.454545454545453,25.0,25.0,27.27272727272727,25.909090909090907,21.818181818181817,25.909090909090907,25.0,27.27272727272727,16.25
2018-4Q,25.0,25.0,25.428237046494306,25.0,25.0,25.0,18.725396318757312,25.64102564102564,25.0,25.0,25.0,22.247047558250877,25.21544845196297,25.0,25.534631343759973,27.877965741036284,29.74784551548037,25.0,25.0,19.57655069688265,26.53473773805724
2019-1Q,25.0,25.0,25.0,25.0,25.0,25.0,19.348894348894348,25.0,25.0,25.0,25.0,17.813267813267814,25.0,25.0,26.78132678132678,25.0,25.0,27.27272727272727,25.0,25.0,25.84971334971335
2019-2Q,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.557203389830505,25.0,25.0,5.5826271186440675,25.0,25.0,27.383474576271187,25.0,25.0,24.915254237288135
2019-3Q,25.0,25.0,25.0,25.0,25.0,25.0,19.753086419753085,25.0,25.0,25.0,25.0,21.8694885361552,25.0,25.0,21.75925925925926,25.0,25.0,26.212522045855376,25.0,25.0,25.0
2019-4Q,25.0,25.0,25.0,25.0,25.0,25.0,28.20910973084887,25.0,25.0,25.0,25.0,28.421900161030596,25.0,25.0,7.401656314699795,25.0,25.0,26.017943409247756,24.933862433862434,25.0,25.0
2020-1Q,25.0,25.0,25.0,25.0,25.0,25.0,31.876138433515486,25.0,25.0,25.0,25.0,11.475409836065575,25.0,25.0,23.224043715846996,25.0,25.0,25.0,25.0,25.0,25.0
2020-2Q,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.00024999999999886224,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2020-3Q,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,2.2727272727272707,25.0,25.0,24.431818181818183,25.0,25.0,24.431818181818183,25.0,25.0,25.0
2020-4Q,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,10.106382978723405,25.0,25.0,37.765957446808514,25.0,25.0,21.010638297872344,25.0,25.0,25.0
2021-1Q,25.0,25.0,25.0,25.0,25.0,25.0,24.852507374631266,25.0,25.0,25.0,25.0,20.28023598820059,25.0,25.0,11.356932153392329,25.0,25.0,18.51032448377581,25.0,25.0,25.0
2021-2Q,25.0,25.0,25.0,25.0,25.0,25.0,24.78165938864629,25.0,25.0,25.0,25.0,42.13973799126637,25.0,25.0,7.423580786026202,25.0,25.0,21.724890829694324,25.0,25.0,25.0
2021-3Q,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,17.338709677419356,25.0,25.0,14.919354838709678,25.0,25.0,17.741935483870968,25.0,25.0,25.0
